     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.024,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       100,         0,         0,   0.025,pymatching_owd_d3_r1,85a626a650868e567cde8a086a957f1b370809340330d3e0e72aecd9b483f6e5,"{""d"":3,""decodings"":1,""p"":0.0024750007327711187}",
       200,         1,         0,   0.021,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       100,         2,         0,   0.019,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       200,         1,         0,   0.024,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       600,         6,         0,   0.033,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       800,         3,         0,   0.036,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       400,         6,         0,   0.029,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
      1200,         8,         0,   0.044,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       100,         0,         0,   0.114,pymatching_owd_d5_r1,6f22461d7ce5deadcf471b27e405b46b9225a9ede6e1f521c815f4b823d22ee3,"{""d"":5,""decodings"":1,""p"":0.002}",
       100,         0,         0,   0.111,pymatching_owd_d5_r1,621aa5518c429869f5806efc28efffaa7773bb0a48091be500f6cecee01004cc,"{""d"":5,""decodings"":1,""p"":0.0024750007327711187}",
      2400,        10,         0,   0.066,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
      4000,        19,         0,   0.097,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
      4400,        44,         0,   0.104,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       200,         1,         0,   0.124,pymatching_owd_d5_r1,6f22461d7ce5deadcf471b27e405b46b9225a9ede6e1f521c815f4b823d22ee3,"{""d"":5,""decodings"":1,""p"":0.002}",
      7200,        60,         0,   0.157,pymatching_owd_d3_r1,7657ab302ddf0eebd30e9e94d09b17d2f163f69563e4059e7bafba6a7df97470,"{""d"":3,""decodings"":1,""p"":0.002}",
       200,         0,         0,   0.123,pymatching_owd_d5_r1,6f22461d7ce5deadcf471b27e405b46b9225a9ede6e1f521c815f4b823d22ee3,"{""d"":5,""decodings"":1,""p"":0.002}",
