     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         4,         0,    1.02,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       100,        12,         0,    1.01,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       200,         9,         0,    1.03,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       200,         8,         0,    1.03,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       600,        23,         0,    1.17,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
      1000,        38,         0,    1.28,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       100,         6,         0,    3.56,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
       100,         4,         0,    3.58,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      2200,        79,         0,    1.55,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
      4200,       163,         0,    2.07,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
      4100,       178,         0,    2.05,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       200,        12,         0,    3.53,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      6064,       281,         0,    2.51,pymatching_owd_d9_r1,45cb700f57bc0daf825e5e915a77a30ecec47f701ed2ce51a38db549882463e8,"{""d"":9,""decodings"":1,""p"":0.006}",
       100,         2,         0,    8.48,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       100,         6,         0,    8.64,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
       200,         8,         0,    3.64,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       100,         3,         0,    3.45,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       600,        23,         0,    4.07,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       600,        15,         0,    4.15,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       800,        23,         0,    4.24,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      1000,        43,         0,    4.41,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      2400,        81,         0,    5.90,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       200,         2,         0,    9.67,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       200,         6,         0,    9.84,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      3600,       115,         0,    7.50,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      4378,       140,         0,    8.41,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       628,        24,         0,    4.88,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      5200,       183,         0,    9.07,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       771,        24,         0,    4.25,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
       200,        12,         0,    1.02,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       200,        17,         0,    1.03,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       600,        44,         0,    1.16,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
      1000,        76,         0,    1.28,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       421,        16,         0,    3.79,pymatching_owd_d13_r1,d6ca0b41c5071c7db6a2edd1e70dc47df3d5d742cc531de872dee76a41771d6e,"{""d"":13,""decodings"":1,""p"":0.006}",
      2200,       180,         0,    1.60,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       617,        51,         0,    1.19,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
      4200,       307,         0,    2.24,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
       600,        13,         0,    9.68,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
        40,         5,         0,   0.997,pymatching_owd_d9_r1,2c8dd2580067b8087dec49bd977d23f2ef4ef5f728a912e7c46db9cb8ed854ba,"{""d"":9,""decodings"":1,""p"":0.006817316198804999}",
      1000,        19,         0,    10.6,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       200,        14,         0,    3.66,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
       200,        17,         0,    3.56,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
       900,        30,         0,    10.0,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      1000,        75,         0,    4.73,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
      1400,        43,         0,    12.9,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      2200,        57,         0,    14.4,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      3000,       226,         0,    7.60,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
      1800,        46,         0,    13.9,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      4200,       102,         0,    19.6,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      4833,       385,         0,    9.12,pymatching_owd_d13_r1,94a5a778ee9f25ff95069c2e68d622e29dbf3940e23523b8a21c5c7edf980068,"{""d"":13,""decodings"":1,""p"":0.006817316198804999}",
       144,         2,         0,    9.13,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      5400,       135,         0,    22.6,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
      1403,        43,         0,    12.3,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       629,        18,         0,    10.8,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       200,        14,         0,    9.98,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
       143,         4,         0,    9.83,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       112,         0,         0,    10.7,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       200,        16,         0,    10.9,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
       100,        12,         0,    1.30,pymatching_owd_d9_r1,4f96f4315973cab7da62658182207053cc4a2f7dbfe025ada046afcec07aedaa,"{""d"":9,""decodings"":1,""p"":0.0077459666924148355}",
      7420,       185,         0,    28.0,pymatching_owd_d17_r1,c39b5b7eb418160e78092b51b49a9d51c1752980b7173a5de0cf8f408dc90420,"{""d"":17,""decodings"":1,""p"":0.006}",
       100,        10,         0,    10.8,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
       200,        26,         0,    1.20,pymatching_owd_d9_r1,4f96f4315973cab7da62658182207053cc4a2f7dbfe025ada046afcec07aedaa,"{""d"":9,""decodings"":1,""p"":0.0077459666924148355}",
       600,        81,         0,    1.20,pymatching_owd_d9_r1,4f96f4315973cab7da62658182207053cc4a2f7dbfe025ada046afcec07aedaa,"{""d"":9,""decodings"":1,""p"":0.0077459666924148355}",
       600,        42,         0,    11.5,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
      1800,       219,         0,    1.75,pymatching_owd_d9_r1,4f96f4315973cab7da62658182207053cc4a2f7dbfe025ada046afcec07aedaa,"{""d"":9,""decodings"":1,""p"":0.0077459666924148355}",
       600,        60,         0,    11.3,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
       200,        14,         0,    9.58,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
      1000,        71,         0,    11.8,pymatching_owd_d17_r1,fc635528778446516e505418f0990ecd03fd128612fcb38abe82a658098e2174,"{""d"":17,""decodings"":1,""p"":0.006817316198804999}",
